listing_id,url,category,scraped_at,price_azn,currency,price_per_m2,rooms,area_m2,floor,total_floors,building_type,repair_status,district,metro_station,city,address,latitude,longitude,posted_date,description,agent_name,error
1983963,https://homdom.az/offer/1983963,kiraye,2026-02-27T16:18:33,600.0,AZN,7.06,3,85.0,7,9,köhnə tikili,,Binəqədi,Azadlıq Prospekti m.,Baku,"Kirayə verilir 3 otaqlı köhnə tikili, 85 m², Azadlıq Prospekti m.",,,1 həftə əvvəl,8mkr azadlıq metrosuna yaxın abadlaşmış heyet 9/7 3otaq yarı ewyalı normal temır isdılık kombı ancaq uzun muddetlı qalan aileye verılır qıymet sondu ofıs haqqı 30%,Elan sahibi,
1984995,https://homdom.az/offer/1984995,kiraye,2026-02-27T16:18:34,750.0,AZN,11.54,2,65.0,12,16,yeni tikili,,Səbail,Bayıl,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 65 m², Bayıl",,,1 həftə əvvəl,Bayıl Qəsəbəsi Kristal Abşeron yaşayış kompleksi 16-nın 12-ci mərtəbəsi 2 otaq Əşyalı Qiymət: 750 manat.Birinci ayın 20 faizi ofis haqqıdır,Rəhman,
1993106,https://homdom.az/offer/1993106,kiraye,2026-02-27T16:18:35,1300.0,AZN,6.84,3,190.0,7,16,yeni tikili,,Xətai,Xətai m.,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 190 m², Xətai m.",,,1 gün əvvəl,KİRAYƏ VERİLİR – Xətai metrosu və Bulvara yaxın 3 otaqlı geniş mənzil,Namiq Alizade,
1984980,https://homdom.az/offer/1984980,kiraye,2026-02-27T16:18:36,1600.0,AZN,13.33,3,120.0,11,20,yeni tikili,,Xətai,Xətai m.,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 120 m², Xətai m.",,,1 həftə əvvəl,🏙 Сдаётся 3-комнатная квартира с видом на море!,Zaur,
1984151,https://homdom.az/offer/1984151,kiraye,2026-02-27T16:18:36,900.0,AZN,10.59,2,85.0,6,16,yeni tikili,,Nizami,Qara Qarayev m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 85 m², Qara Qarayev m.",,,1 həftə əvvəl,"📍 Qara Qarayev ✔ Yeni tikili bina ✔ Yeni təmirdən çıxmış mənzil ✔ Bütün əşyalar tamamilə yenidir ✔ Səliqəli, işıqlı və rahat yaşayış üçün ideal 💰 Qiymət: 900 AZN 🧾 Xidmət haqqı: 30% 📞 Ətraflı məlumat və baxış üçün əlaqə saxlayın.",Sabuhi Akif,
1984153,https://homdom.az/offer/1984153,kiraye,2026-02-27T16:18:37,650.0,AZN,11.82,2,55.0,4,5,köhnə tikili,,Nərimanov,Gənclik m.,Baku,"Kirayə verilir 2 otaqlı köhnə tikili, 55 m², Gənclik m.",,,1 həftə əvvəl,"🇦🇿 AZƏRBAYCAN DİLİ 🚇 Gənclik metrosu yaxınlığı 🌳 Atatürk parkı və Ayna Sultanova heykəli ətrafı 🏡 2 otaqlı, əla təmirli mənzil kirayə verilir ✨ Geniş və işıqlı otaqlar 🛋 Yaşayış üçün tam yararlı vəziyyətdə 📍 Prestijli və rahat ərazi 🛒 Yaxınlıqda park, market, məktəb və bütün infrastruktur 🇷🇺 РУССКИЙ ЯЗЫК 🚇 Рядом с метро «Гянджлик» 🌳 Вблизи парка Ататюрка и памятника Айне Султановой 🏡 Сдается 2-комнатная квартира с отличным ремонтом ✨ Светлые и просторные комнаты 🛋 Полностью готова к проживанию 📍 Престижный и удобный район 🛒 Рядом парк, магазины, школы и вся инфраструктура 🇬🇧 ENGLISH 🚇 Near Ganjlik metro station 🌳 Close to Ataturk Park and Ayna Sultanova monument 🏡 2-room apartment with excellent renovation for rent ✨ Bright and spacious rooms 🛋 Fully ready for comfortable living 📍 Prestigious and convenient location 🛒 Close to parks, shops, schools, and all infrastructure",Xeyal,
1994012,https://homdom.az/offer/1994012,kiraye,2026-02-27T16:18:38,2400.0,AZN,20.0,3,120.0,10,16,yeni tikili,,Nəsimi,Gənclik m.,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 120 m², Gənclik m.",,,20 saat əvvəl,🏡 Kirayə verilir – Premium binada Lüks 3 otaqlı mənzil,Ibrahim,
1985456,https://homdom.az/offer/1985456,kiraye,2026-02-27T16:18:38,1000.0,AZN,7.14,3,140.0,3,14,yeni tikili,,Yasamal,İnşaatçılar m.,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 140 m², İnşaatçılar m.",,,1 həftə əvvəl,Inshaatcilar metrosu yeni tikili bina 3 otagli temirli eshyali menzil kiraye verilir tam esyalıdır ayda 40 manat elave komendat odenisi var yalnız ailelere verilir elave melumat ucun elaqe saxlayin xidmet haqqi 30%,Seva x,
1984150,https://homdom.az/offer/1984150,kiraye,2026-02-27T16:18:39,5000.0,AZN,14.29,1,350.0,,,,,Nizami,Xalqlar dostluğu m.,Baku,"350 kv.m. obyekt icarəyə verilir, Xalqlar dostluğu m.",,,1 həftə əvvəl,xaqlar dostlugu bəhruz nuruyev kucəsində yerləşən 350 kv 2 mərtəəbə ust teras isti pol yolun kənari qarşisinda parkovkasi və s kondisaner istilik sistemi hamsi təciz olunub ətrafli məlumat ucun buyurub zəng vura bilərsiniz xidmət haki 30 faizidir,Ağa,
1983967,https://homdom.az/offer/1983967,kiraye,2026-02-27T16:18:40,799.0,AZN,12.29,2,65.0,6,20,yeni tikili,,Yasamal,20 Yanvar m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 65 m², 20 Yanvar m.",,,1 həftə əvvəl,MELISSA RESIDANCE E ELA TEMIRLI VE TAM ESYALI AILE VE XANIMLARA VERILIR OFIS HAQQI 30%,Nicat bəy,
1993115,https://homdom.az/offer/1993115,kiraye,2026-02-27T16:18:40,548.0,AZN,9.96,2,55.0,2,5,köhnə tikili,,Xətai,Xalqlar dostluğu m.,Baku,"Kirayə verilir 2 otaqlı köhnə tikili, 55 m², Xalqlar dostluğu m.",,,1 gün əvvəl,"🏢 Xalqlar Dostluğu ərazisində kirayə mənzil! 🏥 Modern Hospital yaxınlığında 🏬 5 mərtəbəli binanın 2-ci mərtəbəsi 🛋️ Əşyalı 2 otaqlı mənzil 📍 İnfrastruktur baxımından çox əlverişli ərazi 🛒 Marketlər, apteklər və digər iaşə obyektləri yaxınlıqda 🏫 Məktəb və bağça ətrafda 🚇 Metroya cəmi 8 dəqiqəlik məsafə ✨ Rahat və komfortlu yaşayış üçün əla fürsət! 📞 Bu fürsəti qaçırmayın!",Kamil bəy,
1994023,https://homdom.az/offer/1994023,kiraye,2026-02-27T16:18:41,1450.0,AZN,12.08,3,120.0,9,18,yeni tikili,,Nərimanov,Nərimanov,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 120 m², Nərimanov",,,20 saat əvvəl,"Nərimanov rayonunda Gənclik metrosu və ADA Universitetinə yaxın Şəhərə mənzərəli yeni tikili binada ümumi sahəsi 120 kv olan 3 otaqlı əla təmirli mənzil kirayə verilir.Mənzildə istilik sistemi kombidir.Moderin interyerə malik dəbdəbəli təmir.Binanın yeraltı qarajı var. 24 saat mühafizə. Binanın yaninda məktəb,baxça,market və iaşə obyektləri var . Əlavə məlumat üçün zəng edin və ya Whatsapp. Şirkətin xidmətləri 30% təşkil edir!",Səfər,
1985030,https://homdom.az/offer/1985030,kiraye,2026-02-27T16:18:42,649.0,AZN,11.8,2,55.0,9,14,yeni tikili,,Yasamal,Yasamal,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 55 m², Yasamal",,,1 həftə əvvəl,PARK YASAMAL YASAYIS KOMPLEKS YENI TEMIR YASAYIS OLMAYIB OFIS HAQQI 30%,Şamrad Bey,
1986786,https://homdom.az/offer/1986786,kiraye,2026-02-27T16:18:42,1100.0,AZN,18.33,2,60.0,6,18,yeni tikili,,Nəsimi,Nəsimi,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 60 m², Nəsimi",,,1 həftə əvvəl,"Tibb Universiteti Tam yani Tam təmirli mənzil uzunmüddətli icarəyə təklif olunur. Mənzil bütün mebel və məişət texnikası ilə təmin olunub – dərhal yaşayış üçün hazırdır. Mənzildən şəhərə möhtəşəm mənzərə açılır, hər otaqdan eyvana çıxış var.",Həsən bəy,
